"scenario","resource","year","value","lead_times","supply_factor","supply_lead_combined","Units"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2025,0.150078326778388,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2030,0.294004537781146,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2035,0.437255416021216,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2040,0.536584440418974,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2045,0.654353919740619,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2050,0.721024862292476,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2055,0.781262788511093,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2060,0.855085590668118,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2065,0.905246413238097,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2070,0.966403865961815,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2075,1.02843987123939,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2080,1.09803183615467,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2085,1.17063604665018,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2090,1.22542049290314,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2095,1.26734430558671,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2100,1.3054543447362,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",1975,0.670705569055022,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",1990,0.97400043069754,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2005,1.45999896397657,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2010,1.70999939634809,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2015,2.10987617093723,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2021,2.73539608279896,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2025,2.76895767479125,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2030,3.24722861100819,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2035,3.66044915165424,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2040,4.27301431126119,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2045,4.90976309876387,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2050,5.45004146448659,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2055,5.76683829135691,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2060,6.19044109645697,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2065,6.55834767644857,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2070,6.94562125653655,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2075,7.29904154126632,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2080,7.7106762371803,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2085,8.02804495523259,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2090,8.36081827955836,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
"01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2095,8.66326728839661,"Short lead times","Steady-state constrained supply","Short lead times Steady-state constrained supply","Mt/yr"
