"Units","scenario","resource","year","value","supply_factor","demand_factor","lead_times","supply_lead_combined"
"Mt","01272026_His_constrSupply_BR_SS_noTC","lithium",2100,1182.31956806,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",1975,277.5125142,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",1990,277.5125142,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2005,277.5125142,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2010,277.5125142,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2015,277.5125142,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2021,277.5125142,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2025,281.773528302,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2030,290.84577790488,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2035,306.25121188338,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2040,336.73623465738,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2045,388.98930045238,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2050,464.79506085938,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2055,562.09797559338,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2060,676.96492437438,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2065,805.11165858138,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2070,942.74070805138,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2075,1086.84982571138,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2080,1235.23653522138,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2085,1386.36837001138,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2090,1539.22176920138,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2095,1693.13426640138,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_noTC","nickel",2100,1847.68712566138,"Steady-state constrained supply","01272026_His_constrSupply_BR_noTC","Average lead times","Average lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",1975,2280.499203,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",1990,2280.499203,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2005,2280.499203,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2010,2280.499203,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2015,2280.499203,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2021,2280.499203,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2025,2345.28436792,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2030,2452.98011292,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2035,2789.73770902,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2040,3505.17938342,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2045,4558.06825702,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2050,5839.65437152,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2055,7254.80409142,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2060,8741.18936502,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2065,10263.36754192,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2070,11802.80066322,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2075,13350.30487852,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2080,14901.50209072,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2085,16454.35958362,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2090,18007.95400882,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2095,19561.87033742,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","copper",2100,21115.92644842,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",1975,14.668896,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",1990,14.668896,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2005,14.668896,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2010,14.668896,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2015,14.668896,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2021,14.668896,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2025,68.5255552,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2030,88.22742136,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2035,125.32130139,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2040,197.84529649,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2045,298.98459249,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2050,418.12657449,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2055,547.33798749,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2060,681.81721199,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
