"","Units","scenario","resource","year","value","supply_factor","demand_factor","lead_times","supply_lead_combined"
"78","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2065,27.1169677941625,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"79","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2070,32.039077722955,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"80","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2075,37.26546752043,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"81","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2080,42.835870189505,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"82","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2085,48.783016543555,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"83","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2090,55.03471011678,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"84","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2095,61.53859821573,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"85","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","lithium",2100,68.2692573819337,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"86","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2021,0,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"87","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2025,14.981122195,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"88","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2030,31.525423262,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
"89","Mt","01272026_His_constrSupply_BR_SS_shortLT_noTC","nickel",2035,49.9685989307,"Steady-state constrained supply","01272026_His_constrSupply_BR_shortLT_noTC","Short lead times","Short lead times Steady-state constrained supply"
